Participant,Dimension,Item,Reponse
12,Motivation,MOT2,4
12,Motivation,MOT3,4
12,Motivation,MOT4,4
12,Motivation,MOT5,3
12,Motivation,MOT6,5
12,Motivation,MOT7,4
12,Motivation,MOT8,5
12,Motivation,MOT9,3
12,Intention Adoption,INTU1,3
13,Leadership,LDS2,3
13,Leadership,LDS3,3
13,Leadership,LDS4,4
13,Leadership,LDS5,4
13,Leadership,LDS6,2
13,Normes Subjectives,NSUB1,4
13,Normes Subjectives,NSUB2,3
13,Normes Subjectives,NSUB3,3
13,Normes Subjectives,NSUB4,3
13,Normes Subjectives,NSUB5,4
13,Conditions Facilitantes,CF1,4
13,Conditions Facilitantes,CF2,3
13,Conditions Facilitantes,CF3,2
13,Conditions Facilitantes,CF4,5
13,Conditions Facilitantes,CF5,5
13,Conditions Facilitantes,CF6,3
13,Conditions Facilitantes,CF7,4
13,Conditions Facilitantes,CF8,4
13,Attente Face Effort,AFE1,3
13,Attente Face Effort,AFE2,3
13,Attente Face Effort,AFE4,4
13,Attente Face Effort,AFE5,3
13,Attente Face Performance,APF1,2
13,Attente Face Performance,APF2,2
13,Attente Face Performance,APF3,4
13,Attente Face Performance,APF4,3
13,Attente Face Performance,APF5,4
13,Attente Face Performance,APF6,3
13,Image Esperee ID Pro,IEIP1,5
13,Image Esperee ID Pro,IEIP2,4
13,Image Esperee ID Pro,IEIP3,3
13,Image Esperee ID Pro,IEIP4,1
13,Motivation,MOT1,3
13,Motivation,MOT2,3
13,Motivation,MOT3,4
13,Motivation,MOT4,4
13,Motivation,MOT5,4
13,Motivation,MOT6,4
13,Motivation,MOT7,2
13,Motivation,MOT8,4
13,Motivation,MOT9,5
13,Intention Adoption,INTU1,4
14,Leadership,LDS2,3
14,Leadership,LDS3,3
14,Leadership,LDS4,3
14,Leadership,LDS5,3
14,Leadership,LDS6,3
14,Normes Subjectives,NSUB1,3
14,Normes Subjectives,NSUB2,3
14,Normes Subjectives,NSUB3,4
14,Normes Subjectives,NSUB4,4
14,Normes Subjectives,NSUB5,4
14,Conditions Facilitantes,CF1,3
14,Conditions Facilitantes,CF2,2
14,Conditions Facilitantes,CF3,2
14,Conditions Facilitantes,CF4,5
14,Conditions Facilitantes,CF5,4
14,Conditions Facilitantes,CF6,2
14,Conditions Facilitantes,CF7,4
14,Conditions Facilitantes,CF8,4
14,Attente Face Effort,AFE1,3
14,Attente Face Effort,AFE2,3
14,Attente Face Effort,AFE4,2
14,Attente Face Effort,AFE5,3
14,Attente Face Performance,APF1,3
14,Attente Face Performance,APF2,4
14,Attente Face Performance,APF3,4
14,Attente Face Performance,APF4,5
14,Attente Face Performance,APF5,4
14,Attente Face Performance,APF6,3
14,Image Esperee ID Pro,IEIP1,4
14,Image Esperee ID Pro,IEIP2,4
14,Image Esperee ID Pro,IEIP3,3
14,Image Esperee ID Pro,IEIP4,3
14,Motivation,MOT1,3
14,Motivation,MOT2,4
14,Motivation,MOT3,4
14,Motivation,MOT4,4
14,Motivation,MOT5,3
14,Motivation,MOT6,5
14,Motivation,MOT7,4
14,Motivation,MOT8,4
14,Motivation,MOT9,3
14,Intention Adoption,INTU1,4
15,Leadership,LDS2,3
15,Leadership,LDS3,3
15,Leadership,LDS4,3
15,Leadership,LDS5,3
15,Leadership,LDS6,2
15,Normes Subjectives,NSUB1,4
15,Normes Subjectives,NSUB2,2
15,Normes Subjectives,NSUB3,1
15,Normes Subjectives,NSUB4,3
15,Normes Subjectives,NSUB5,4
15,Conditions Facilitantes,CF1,5
15,Conditions Facilitantes,CF2,1
15,Conditions Facilitantes,CF3,3
15,Conditions Facilitantes,CF4,5
15,Conditions Facilitantes,CF5,5
15,Conditions Facilitantes,CF6,4
15,Conditions Facilitantes,CF7,4
15,Conditions Facilitantes,CF8,5
15,Attente Face Effort,AFE1,4
15,Attente Face Effort,AFE2,3
15,Attente Face Effort,AFE4,4
15,Attente Face Effort,AFE5,3
15,Attente Face Performance,APF1,4
15,Attente Face Performance,APF2,5
15,Attente Face Performance,APF3,3
15,Attente Face Performance,APF4,5
15,Attente Face Performance,APF5,5
15,Attente Face Performance,APF6,5
