Rep,LDS2,LDS3,LDS4,LDS5,LDS6,NSUB1,NSUB2,NSUB3,NSUB4,NSUB5,CF1,CF2,CF3,CF4,CF5,CF6,CF7,CF8,AFE1,AFE2,AFE4,AFE5,APF1,APF2,APF3,APF4,APF5,APF6,IEIP1,IEIP2,IEIP3,IEIP4,MOT1,MOT2,MOT3,MOT4,MOT5,MOT6,MOT7,MOT8,MOT9,INTU1
48,3,2,2,4,4,3,2,2,5,2,5,4,2,5,5,4,2,2,4,4,5,4,4,3,4,5,5,4,5,5,2,5,4,4,4,2,5,4,5,4,5,4
49,4,2,3,4,1,3,2,2,5,5,5,3,2,5,5,3,5,5,2,2,5,3,3,3,5,5,5,4,5,5,5,1,3,5,5,5,5,5,5,5,3,4
50,5,3,3,5,1,4,3,3,4,3,5,4,1,5,5,4,3,3,5,4,5,4,3,3,5,5,5,3,5,5,4,5,3,4,5,5,3,5,5,5,3,5
51,4,2,2,5,2,3,2,4,4,4,4,4,4,4,4,3,4,4,2,2,5,4,4,2,3,4,4,4,5,4,4,2,4,4,5,4,4,5,4,5,4,4
52,4,3,3,3,3,5,3,1,3,4,4,5,3,5,5,3,4,3,3,3,5,4,3,3,5,5,5,3,4,4,4,3,3,5,5,3,3,5,5,5,4,4
53,4,4,4,2,3,3,3,3,5,4,4,2,2,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,5,4,4,4,4
54,5,4,5,4,4,5,3,1,2,2,3,2,1,5,5,4,2,2,2,2,4,5,3,1,5,4,4,2,4,5,4,5,2,4,4,1,3,5,4,5,3,3
55,5,3,3,3,1,5,3,3,5,5,5,5,1,5,5,5,5,3,3,1,5,5,3,1,5,5,5,3,5,5,5,3,4,5,5,3,3,5,4,5,5,3
56,5,3,3,2,4,4,3,3,4,5,4,2,2,5,4,4,3,4,3,3,4,2,3,3,5,4,5,4,5,5,4,3,4,4,4,4,4,5,5,5,4,4
57,4,3,4,4,3,3,2,2,4,5,5,4,3,5,5,4,3,2,4,1,2,3,5,4,5,5,3,4,5,5,4,2,2,4,4,2,4,5,5,5,5,5
58,4,4,2,4,2,4,2,1,3,2,4,3,2,4,4,3,4,3,2,1,2,4,3,3,5,4,4,3,4,5,4,4,4,5,4,4,4,4,4,4,4,3
59,4,3,5,1,1,3,1,1,3,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5
60,4,4,4,5,2,4,1,1,4,5,5,2,1,5,5,5,3,5,5,3,1,5,4,3,5,5,5,4,5,5,5,2,4,5,5,3,5,5,5,5,5,5
61,4,3,3,3,3,3,2,3,5,4,4,3,2,5,4,4,3,5,3,4,4,4,4,4,5,5,5,4,5,5,5,3,3,5,4,4,4,5,5,5,5,4
62,4,3,4,4,4,5,2,2,5,5,4,4,2,5,5,4,4,2,3,3,5,4,3,3,4,4,5,3,5,5,4,2,3,4,5,4,4,5,4,5,4,4
63,5,3,3,3,3,5,1,1,5,1,5,1,1,5,5,5,5,4,3,3,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5
64,5,3,3,5,3,5,3,4,3,4,5,2,1,5,5,5,5,1,5,1,2,3,5,3,3,5,5,3,5,2,4,1,4,4,5,3,3,5,3,3,5,5
65,4,5,4,4,3,5,3,2,4,4,4,4,1,4,5,1,4,2,5,5,5,2,4,2,4,4,4,3,5,5,4,2,3,4,4,4,4,5,4,5,4,5
66,4,3,3,2,3,3,3,3,4,3,3,3,1,5,5,5,5,4,4,3,5,4,4,5,3,5,4,4,5,5,4,1,3,4,5,3,3,5,5,5,5,5
67,4,3,3,5,2,3,2,2,2,3,4,4,1,5,5,3,5,4,3,4,5,5,3,3,5,5,5,3,5,5,4,1,3,5,4,4,5,5,5,5,5,4
68,3,3,3,2,1,3,4,4,4,3,4,2,2,5,5,3,4,4,3,2,5,3,5,3,2,4,5,3,4,5,4,2,2,4,5,1,3,5,5,4,4,4
69,5,3,3,3,2,5,3,3,4,3,3,3,1,3,3,1,3,3,3,3,5,3,3,2,4,3,3,2,4,3,3,2,3,5,4,2,3,5,4,4,3,2
70,3,3,3,3,3,4,2,2,5,4,4,2,1,5,5,4,4,4,3,3,4,4,3,3,5,5,5,4,4,5,4,3,3,4,5,3,4,5,5,5,4,4
71,3,3,4,5,4,4,2,2,4,5,5,3,2,5,5,5,4,4,5,5,5,4,4,5,5,5,5,3,5,5,5,2,3,4,4,4,4,4,5,4,4,4
72,5,5,5,5,1,5,1,1,1,1,5,1,1,5,5,3,5,1,1,1,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5
73,3,3,3,4,3,3,3,2,2,5,3,4,2,5,5,3,4,4,3,3,5,3,3,3,5,5,5,3,3,5,5,2,4,4,5,3,4,5,5,5,5,3
74,4,3,3,2,4,3,2,3,2,3,4,2,2,4,4,4,4,3,3,3,3,4,3,4,4,5,5,4,4,4,3,3,3,4,4,3,4,5,4,4,4,4
75,1,3,3,1,1,3,4,4,3,4,3,3,1,4,4,3,4,1,4,3,3,2,3,2,4,4,4,2,5,4,3,4,3,4,4,3,3,3,4,4,3,3
76,3,3,3,4,4,4,2,2,2,5,5,3,2,5,5,4,3,4,3,2,5,3,3,3,5,5,5,4,4,5,5,3,3,4,5,2,5,5,5,5,3,5
77,3,3,3,3,3,3,3,1,1,4,4,3,1,4,4,3,4,4,3,2,4,3,2,2,4,4,4,3,4,3,4,3,3,4,4,3,3,4,4,4,4,4
78,4,3,3,3,3,3,2,2,5,4,4,3,2,5,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,3,5,4,4,4,4
79,2,3,3,4,4,4,3,2,3,3,4,4,1,3,4,3,4,2,3,2,4,4,4,3,4,3,3,3,4,3,3,3,3,3,4,3,3,4,3,4,3,4
80,5,3,4,3,1,5,3,3,4,3,5,3,1,5,5,5,4,3,4,3,4,2,4,4,5,4,5,4,5,5,5,3,4,4,4,4,4,5,5,5,5,5
81,4,3,2,3,3,3,1,1,2,1,4,4,2,4,5,5,5,3,4,1,3,4,3,4,4,5,5,5,5,1,3,5,5,4,5,3,5,5,5,5,5,4
82,4,3,3,5,2,3,1,1,2,5,5,3,2,5,5,5,2,4,3,3,3,5,4,4,5,5,5,5,4,5,5,3,5,4,5,3,5,5,5,5,5,5
